model,fold_index,group,test_rows,mae_eV,mse_eV2,rmse_eV,r2,mae_nm,mse_nm2,rmse_nm
train_median_baseline,50,Ca(AlS2)2,1,0.5484999999999998,0.30085224999999977,0.5484999999999998,,60.12663609923652,3615.212368610012,60.12663609923652
xgboost_original_params,51,Ca(GaS2)2,1,0.020370643615722717,0.0004149631213187847,0.020370643615722717,,2.9176598504913613,8.512739003169273,2.9176598504913613
train_mean_baseline,51,Ca(GaS2)2,1,0.6864691011235959,0.4712398267974378,0.6864691011235959,,80.22292247402532,6435.717290273477,80.22292247402532
train_median_baseline,51,Ca(GaS2)2,1,0.7164999999999999,0.5133722499999999,0.7164999999999999,,83.04322328402725,6896.176933400806,83.04322328402725
xgboost_original_params,52,Ca(YS2)2,1,0.0286326217651367,0.00081982702914538,0.0286326217651367,,5.839372668850785,34.098273165721544,5.839372668850785
train_mean_baseline,52,Ca(YS2)2,1,1.1397387640449437,1.2990044502666958,1.1397387640449437,,157.4137733704011,24779.096046707993,157.4137733704011
train_median_baseline,52,Ca(YS2)2,1,1.1684999999999999,1.3653922499999998,1.1684999999999999,,160.11388851859135,25636.4572965439,160.11388851859135
xgboost_original_params,53,Ca10P6SO24,2,0.19497728824615468,0.06467869813039019,0.254320070246904,-0.7225110310716021,17.20498384721003,495.8726850583093,22.26819896305737
train_mean_baseline,53,Ca10P6SO24,2,0.1924999999999999,0.05658257289029957,0.23787091644482217,-0.49100723996150664,16.966961996624093,429.22788312196155,20.71781559725739
train_median_baseline,53,Ca10P6SO24,2,0.1924999999999999,0.04882850000000002,0.2209717176473044,-0.2783846651789037,16.966961996624093,368.01856419187123,19.183809949847586
xgboost_original_params,54,Ca10P6SeO24,1,0.031370456695556825,0.000984105553287806,0.031370456695556825,,3.0564150841702826,9.341673166743636,3.0564150841702826
train_mean_baseline,54,Ca10P6SeO24,1,0.033640449438202324,0.001131679838404247,0.033640449438202324,,3.2186663937026196,10.359813353950626,3.2186663937026196
train_median_baseline,54,Ca10P6SeO24,1,0.06549999999999967,0.004290249999999956,0.06549999999999967,,6.212214755615605,38.59161216988825,6.212214755615605
xgboost_original_params,55,Ca2Al2SiO7,1,0.029620830535888487,0.0008773936016358238,0.029620830535888487,,2.8372311560640924,8.049880632940786,2.8372311560640924
train_mean_baseline,55,Ca2Al2SiO7,1,0.033640449438202324,0.001131679838404247,0.033640449438202324,,3.2186663937026196,10.359813353950626,3.2186663937026196
train_median_baseline,55,Ca2Al2SiO7,1,0.06549999999999967,0.004290249999999956,0.06549999999999967,,6.212214755615605,38.59161216988825,6.212214755615605
xgboost_original_params,56,Ca2B5ClO9,1,0.03104951667785638,0.0009640724859284815,0.03104951667785638,,2.451800158558399,6.01132401750699,2.451800158558399
train_mean_baseline,56,Ca2B5ClO9,1,0.33138202247190973,0.10981404481757329,0.33138202247190973,,28.790260882963253,828.879121709084,28.790260882963253
train_median_baseline,56,Ca2B5ClO9,1,0.30000000000000027,0.09000000000000016,0.30000000000000027,,25.839534442829006,667.6815402221465,25.839534442829006
xgboost_original_params,57,Ca2GeO4,1,0.04812018394470208,0.002315552102871964,0.04812018394470208,,5.1736203713221585,26.766347746559628,5.1736203713221585
train_mean_baseline,57,Ca2GeO4,1,0.197098314606742,0.03884774562081824,0.197098314606742,,19.75435303545561,390.2344638494142,19.75435303545561
train_median_baseline,57,Ca2GeO4,1,0.22849999999999993,0.05221224999999997,0.22849999999999993,,22.70450653877623,515.4946171693325,22.70450653877623
xgboost_original_params,58,Ca2Si5N8,1,0.3927110176086428,0.15422194335121575,0.3927110176086428,,57.102975990180596,3260.7498669351417,57.102975990180596
train_mean_baseline,58,Ca2Si5N8,1,0.49493258426966324,0.2449582629718473,0.49493258426966324,,54.3100136785788,2949.577585767416,54.3100136785788
train_median_baseline,58,Ca2Si5N8,1,0.5254999999999996,0.2761502499999996,0.5254999999999996,,57.18112626171467,3269.6812005581546,57.18112626171467
xgboost_original_params,59,Ca2SiS4,1,0.11896355628967292,0.014152327725086178,0.11896355628967292,,16.621558643915932,276.27621175313647,16.621558643915932
train_mean_baseline,59,Ca2SiS4,1,0.6985028089887644,0.4879061741651943,0.6985028089887644,,81.96391815638566,6718.083879546687,81.96391815638566
train_median_baseline,59,Ca2SiS4,1,0.7284999999999999,0.5307122499999999,0.7284999999999999,,84.7810271067487,7187.822557275257,84.7810271067487
